PLAYERS	HEIGHT
NAT CLIFTON	6-6
DOUG COLLINS	6-6
BILLY CUNNINGHAM	6-6
BOB DANDRIDGE	6-6
WALTER DAVIS	6-6
DAVE DEBUSSCHERE	6-6
JOHN DREW	6-6
JULIUS ERVING	6-6
HARRY GALLATIN	6-6
MANU GINOBILI	6-6
TOM GOLA	6-6
RICHARD HAMILTON	6-6
HERSEY HAWKINS	6-6
ALLAN HOUSTON	6-6
MEL HUTCHINS	6-6
ANDRE IGUODALA	6-6
LARRY JOHNSON	6-6
GUS JOHNSON	6-6
EDDIE JONES	6-6
MICHAEL JORDAN	6-6
BILLY KNIGHT	6-6
DAN MAJERLE	6-6
TOM MESCHERY	6-6
JACK MOLINAS	6-6
CALVIN NATT	6-6
WILLIE NAULLS	6-6
JIM PAXSON	6-6
METTA WORLD PEACE	6-6
PAUL PIERCE	6-6
MICHAEL REDD	6-6
BRANDON ROY	6-6
JERRY STACKHOUSE	6-6
KELLY TRIPUCKA	6-6
JACK TWYMAN	6-6
CHET WALKER	6-6
JAMAAL WILKES	6-6
RAY ALLEN	6-5
ELGIN BAYLOR	6-5
VINCE BORYLA	6-5
BILL BRADLEY	6-5
CARL BRAUN	6-5
JOE CALDWELL	6-5
ADRIAN DANTLEY	6-5
JOE FULKS	6-5
JOHNNY GREEN	6-5
JAMES HARDEN	6-5
JOHN HAVLICEK	6-5
LOU HUDSON	6-5
PETE MARAVICH	6-5
JON McGLOCKLIN	6-5
MICHEAL RAY RICHARDSON	6-5
MITCH RICHMOND	6-5
OSCAR ROBERTSON	6-5
CAZZIE RUSSELL	6-5
FRED SCHAUS	6-5
CHARLIE SCOTT	6-5
JERRY SLOAN	6-5
LATRELL SPREWELL	6-5
DICK VAN ARSDALE	6-5
TOM VAN ARSDALE	6-5
GEORGE YARDLEY	6-5
DANNY AINGE	6-4
PAUL ARIZIN	6-4
DICK BARNETT	6-4
LEO BARNHORST	6-4
DON BUSE	6-4
AUSTIN CARR	6-4
ANDRE DRUMMOND	6-4
WALT FRAZIER	6-4
RICHIE GUERIN	6-4
CLIFF HAGAN	6-4
ROD HUNDLEY	6-4
DENNIS JOHNSON	6-4
SAM JONES	6-4
JASON KIDD	6-4
JEFF MALONE	6-4
EDDIE MILES	6-4
JEFF MULLINS	6-4
CHUCK NOBLE	6-4
GARY PAYTON	6-4
GEOFF PETRIE	6-4
RICKY PIERCE	6-4
JIM POLLARD	6-4
DOC RIVERS	6-4
PHIL SMITH	6-4
DAVID THOMPSON	6-4
DWYANE WADE	6-4
JOHN WALL	6-4
PAUL WESTPHAL	6-4
BRIAN WINTERS	6-4
GILBERT ARENAS	6-3
BUTCH BEARD	6-3
CHAUNCEY BILLUPS	6-3
DAVE BING	6-3
OTIS BIRDSONG	6-3
FRED BROWN	6-3
SAM CASSELL	6-3
PHIL CHENIER	6-3
STEPHEN CURRY	6-3
BARON DAVIS	6-3
JOE DUMARS	6-3
DIKE EDDLEMAN	6-3
SLEEPY FLOYD	6-3
STEVE FRANCIS	6-3
DICK GARMAKER	6-3
DEVIN HARRIS	6-3
JRUE HOLIDAY	6-3
LIONEL HOLLINS	6-3
JEFF HORNACEK	6-3
DON KOJIS	6-3
FAT LEVER	6-3
DAMIAN LILLARD	6-3
SIDNEY MONCRIEF	6-3
EARL MONROE	6-3
CHRIS MULLIN	6-3
STEVE NASH	6-3
DON OHL	6-3
TERRY PORTER	6-3
JIM PRICE	6-3
ALVIN ROBERTSON	6-3
DERRICK ROSE	6-3
FRANK SELVY	6-3
RANDY SMITH	6-3
JOHN STARKS	6-3
ANDREW TONEY	6-3
JIMMY WALKER	6-3
RUSSELL WESTBROOK	6-3
JO JO WHITE	6-3
DERON WILLIAMS	6-3
B.J. ARMSTRONG	6-2
ARCHIE CLARK	6-2
WORLD B. FREE	6-2
JACK GEORGE	6-2
HAL GREER	6-2
WALT HAZZARD	6-2
KYRIE IRVING	6-2
EDDIE JOHNSON	6-2
JIM KING	6-2
STEPHON MARBURY	6-2
NORM NIXON	6-2
TONY PARKER	6-2
ANDY PHILLIP	6-2
RICHIE REGAN	6-2
GENE SHUE	6-2
JEFF TEAGUE	6-2
PAUL WALTHER	6-2
JERRY WEST	6-2
GUS WILLIAMS	6-2
MAX ZASLOFSKY	6-2
NATE ARCHIBALD	6-1
FRANK BRIAN	6-1
MAURICE CHEEKS	6-1
LARRY COSTELLO	6-1
BOB COUSY	6-1
BOB DAVIES	6-1
GAIL GOODRICH	6-1
BOB HARRISON	6-1
MARK JACKSON	6-1
KEVIN JOHNSON	6-1
FLYNN ROBINSON	6-1
RAJON RONDO	6-1
PAUL SEYMOUR	6-1
BILL SHARMAN	6-1
ADRIAN SMITH	6-1
JOHN STOCKTON	6-1
DON SUNDERLAGE	6-1
ISIAH THOMAS	6-1
NICK VAN EXEL	6-1
NORM VAN LIER	6-1
LENNY WILKENS	6-1
MO WILLIAMS	6-1
KENNY ANDERSON	6-0
MOOKIE BLAYLOCK	6-0
RICKEY GREEN	6-0
TIM HARDAWAY	6-0
ALLEN IVERSON	6-0
KYLE LOWRY	6-0
DICK McGUIRE	6-0
JAMEER NELSON	6-0
CHRIS PAUL	6-0
MARK PRICE	6-0
GUY RODGERS	6-0
BOB WANZER	6-0
DANA BARROS	5-11
TERRELL BRANDON	5-11
BILLY GABOR	5-11
MICHAEL ADAMS	5-10
RALPH BEARD	5-10
SLATER MARTIN	5-10
FRED SCOLARI	5-10
CALVIN MURPHY	5-9
ISAIAH THOMAS	5-9
